appid,best_community_idx,best_community_id,similarity
3039500,36,36,0.5905632972717285
38120,2,2,0.5904563665390015
355630,2,2,0.5903034806251526
502470,23,23,0.5899495482444763
1640630,12,12,0.5899490714073181
584370,2,2,0.5898458361625671
2375040,2,2,0.5898275971412659
1136440,2,2,0.5892201066017151
1478970,27,27,0.5890828967094421
2169120,36,36,0.5889981389045715
856100,2,2,0.5887147784233093
296830,32,32,0.5886886119842529
2427100,11,11,0.5886488556861877
447690,2,2,0.5885390639305115
2653940,23,23,0.5880088806152344
648780,7,7,0.5875729322433472
846050,21,21,0.5874667763710022
393530,36,36,0.5870810747146606
1720090,2,2,0.5870770812034607
1372910,2,2,0.5869733691215515
2092660,2,2,0.5869407653808594
3172450,2,2,0.5869355201721191
2497210,21,21,0.586884617805481
3496450,7,7,0.5864290595054626
225270,7,7,0.5863692164421082
2802110,23,23,0.5862289071083069
1160020,27,27,0.5861755609512329
784050,2,2,0.5861535668373108
294590,32,32,0.5860929489135742
726830,2,2,0.585930585861206
3160580,21,21,0.585860013961792
1046300,11,11,0.5855607986450195
343070,2,2,0.5849050283432007
1782330,2,2,0.5834628343582153
1277950,2,2,0.5833992958068848
1730140,27,27,0.5832321643829346
875240,2,2,0.5830696821212769
1191580,36,36,0.5829627513885498
624270,23,23,0.58212810754776
2424390,2,2,0.581961452960968
1393320,2,2,0.5818989872932434
383140,2,2,0.5818578600883484
1741880,2,2,0.5814648866653442
1074610,2,2,0.5813303589820862
2475420,21,21,0.5812870860099792
2891310,27,27,0.5811496376991272
1424860,7,7,0.5809870958328247
1759350,2,2,0.580944836139679
801070,2,2,0.5805042386054993
796920,2,2,0.5805042386054993
806530,27,27,0.5803276896476746
1097300,2,2,0.5801301002502441
1321590,2,2,0.5799534916877747
2918550,36,36,0.5797374248504639
38170,2,2,0.5796211957931519
1016770,23,23,0.5794677138328552
2891870,2,2,0.5793889760971069
1255650,2,2,0.5793511271476746
654600,2,2,0.5790637731552124
1510070,7,7,0.5790126919746399
1804010,27,27,0.5787113308906555
598600,2,2,0.5786680579185486
664830,2,2,0.578313946723938
791180,9,9,0.5780590176582336
1395560,2,2,0.5772599577903748
745010,27,27,0.5762751698493958
1354910,23,23,0.575922966003418
2055410,2,2,0.5757245421409607
1740300,27,27,0.5756847262382507
3152590,2,2,0.5756726264953613
1552310,2,2,0.5753803253173828
1092000,36,36,0.5753389596939087
1034810,36,36,0.575280487537384
